date,usdjpy
01-Jan,115.108
02-Jan,115.1405
03-Jan,115.329
04-Jan,116.163
05-Jan,116.1235
06-Jan,115.8605
07-Jan,115.617
08-Jan,115.588
09-Jan,115.6275
10-Jan,115.274
11-Jan,115.327
12-Jan,114.678
13-Jan,114.119
14-Jan,114.235
15-Jan,114.235
16-Jan,114.3045
17-Jan,114.572
18-Jan,114.579
19-Jan,114.352
20-Jan,113.974
21-Jan,113.6685
22-Jan,113.6685
23-Jan,113.7555
24-Jan,113.9975
25-Jan,113.88
26-Jan,114.724
27-Jan,115.354
28-Jan,115.215
29-Jan,115.215
30-Jan,115.2795
31-Jan,115.131
01-Feb,114.7395
02-Feb,114.37
03-Feb,114.965
04-Feb,115.225
05-Feb,115.225
06-Feb,115.2255
07-Feb,115.066
08-Feb,115.576
09-Feb,115.591
10-Feb,116.049
11-Feb,115.597
12-Feb,115.897
13-Feb,115.5905
14-Feb,115.5375
15-Feb,115.64
16-Feb,115.393
17-Feb,114.8755
18-Feb,114.9985
19-Feb,114.9985
20-Feb,114.9595
21-Feb,114.636
22-Feb,115.1005
23-Feb,114.8885
24-Feb,115.5725
25-Feb,115.5565
26-Feb,115.545
27-Feb,115.5585
28-Feb,115.0815
01-Mar,114.831
02-Mar,115.5125
03-Mar,115.479
04-Mar,114.815
05-Mar,114.815
06-Mar,114.9405
07-Mar,115.3765
08-Mar,115.7235
09-Mar,115.9155
10-Mar,116.194
11-Mar,117.3225
12-Mar,117.3225
13-Mar,117.533
14-Mar,118.223
15-Mar,118.2925
16-Mar,118.884
17-Mar,118.4875
18-Mar,119.213
19-Mar,119.213
20-Mar,119.263
21-Mar,119.615
22-Mar,121.378
23-Mar,121.139
24-Mar,122.347
25-Mar,122.085
26-Mar,122.095
27-Mar,122.2755
28-Mar,123.674
29-Mar,123.133
30-Mar,122.0655
31-Mar,121.7595
01-Apr,122.507
02-Apr,122.507
03-Apr,122.5955
04-Apr,122.811
05-Apr,123.673
06-Apr,123.7495
07-Apr,124.127
08-Apr,124.3
09-Apr,124.3
10-Apr,124.397
11-Apr,125.4695
12-Apr,125.413
13-Apr,125.378
14-Apr,126.1765
15-Apr,126.4355
16-Apr,126.4355
17-Apr,126.6225
18-Apr,127.108
19-Apr,129.305
20-Apr,128.0165
21-Apr,128.4155
22-Apr,128.471
23-Apr,128.471
24-Apr,128.6155
25-Apr,127.776
26-Apr,127.2695
27-Apr,128.415
28-Apr,130.8145
29-Apr,129.786
30-Apr,129.786
01-May,130.0145
02-May,130.137
03-May,130.121
04-May,129.2275
05-May,130.2825
06-May,130.568
07-May,130.568
08-May,130.7795
09-May,130.415
10-May,130.3265
11-May,129.8535
12-May,128.595
13-May,129.265
14-May,129.265
15-May,129.4325
16-May,128.925
17-May,129.4575
18-May,127.917
19-May,127.833
20-May,127.935
21-May,127.935
22-May,127.9065
23-May,127.8475
24-May,126.7725
25-May,127.1555
26-May,127.0465
27-May,127.095
28-May,127.095
29-May,127.2885
30-May,127.7875
31-May,128.7375
01-Jun,130.125
02-Jun,129.9075
03-Jun,130.827
04-Jun,130.845
05-Jun,130.7595
06-Jun,132.1775
07-Jun,132.8175
08-Jun,134.4335
09-Jun,134.4115
10-Jun,134.399
11-Jun,134.415
12-Jun,134.8225
13-Jun,134.251
14-Jun,135.299
15-Jun,134.12
16-Jun,132.426
17-Jun,134.9575
18-Jun,134.9925
19-Jun,135.2795
20-Jun,135.0905
21-Jun,136.2955
22-Jun,136.022
23-Jun,134.8435
24-Jun,135.21
25-Jun,135.21
26-Jun,135.0655
27-Jun,135.441
28-Jun,136.0495
29-Jun,136.59
30-Jun,135.7895
01-Jul,135.225
02-Jul,135.225
03-Jul,135.0465
04-Jul,135.869
05-Jul,135.523
06-Jul,135.9685
07-Jul,135.9345
08-Jul,136.115
09-Jul,136.09
10-Jul,136.3055
11-Jul,137.393
12-Jul,136.7315
13-Jul,137.629
14-Jul,138.9785
15-Jul,138.5315
16-Jul,138.5315
17-Jul,138.3275
18-Jul,138.23
19-Jul,138.1945
20-Jul,138.3985
21-Jul,137.1315
22-Jul,136.268
23-Jul,136.178
24-Jul,136.3155
25-Jul,136.4245
26-Jul,136.97
27-Jul,136.1195
28-Jul,134.4295
29-Jul,133.245
30-Jul,133.245
31-Jul,133.4115
01-Aug,131.569
02-Aug,133.3805
03-Aug,134.0035
04-Aug,132.6335
05-Aug,134.9225
06-Aug,134.99
07-Aug,135.0465
08-Aug,134.843
09-Aug,135.1885
10-Aug,132.8375
11-Aug,132.9755
12-Aug,133.4365
13-Aug,133.4365
14-Aug,133.2965
15-Aug,133.154
16-Aug,134.271
17-Aug,134.949
18-Aug,135.773
19-Aug,136.8605
20-Aug,136.9005
21-Aug,137.0445
22-Aug,137.551
23-Aug,136.7345
24-Aug,137.0725
25-Aug,136.568
26-Aug,137.6645
27-Aug,137.565
28-Aug,138.1605
29-Aug,138.595
30-Aug,138.7355
31-Aug,139.345
01-Sep,140.1
02-Sep,140.211
03-Sep,140.211
04-Sep,140.4905
05-Sep,140.4415
06-Sep,143.154
07-Sep,144.126
08-Sep,143.8575
09-Sep,142.505
10-Sep,142.505
11-Sep,142.604
12-Sep,142.5885
13-Sep,144.411
14-Sep,142.9245
15-Sep,143.368
16-Sep,142.9265
17-Sep,142.9565
18-Sep,142.7685
19-Sep,143.2305
20-Sep,143.6035
21-Sep,144.3085
22-Sep,142.295
23-Sep,143.3415
24-Sep,143.3765
25-Sep,143.5145
26-Sep,144.5045
27-Sep,144.703
28-Sep,144.3995
29-Sep,144.4345
30-Sep,144.739
01-Oct,144.739
02-Oct,144.838
03-Oct,144.504
04-Oct,143.7885
05-Oct,144.466
06-Oct,145.042
07-Oct,145.395
08-Oct,145.365
09-Oct,145.481
10-Oct,145.6755
11-Oct,145.8715
12-Oct,146.7385
13-Oct,147.3065
14-Oct,148.785
15-Oct,148.785
16-Oct,148.637
17-Oct,148.9725
18-Oct,149.2215
19-Oct,149.8125
20-Oct,150.188
21-Oct,147.675
22-Oct,147.695
23-Oct,147.913
24-Oct,148.892
25-Oct,147.9965
26-Oct,146.136
27-Oct,146.303
28-Oct,147.455
29-Oct,147.455
30-Oct,147.77
31-Oct,148.724
01-Nov,147.9
02-Nov,147.883
03-Nov,148.3795
04-Nov,146.605
05-Nov,146.62
06-Nov,146.815
07-Nov,146.6455
08-Nov,145.3425
09-Nov,146.197
10-Nov,141.6375
11-Nov,138.8
12-Nov,138.815
13-Nov,139.5775
14-Nov,140.1275
15-Nov,138.8675
16-Nov,139.3125
17-Nov,140.3745
18-Nov,140.345
19-Nov,140.345
20-Nov,140.279
21-Nov,142.1435
22-Nov,141.1625
23-Nov,139.332
24-Nov,138.598
25-Nov,139.125
26-Nov,139.125
27-Nov,139.364
28-Nov,138.7525
29-Nov,138.7455
30-Nov,137.4255
01-Dec,135.169
02-Dec,134.315
03-Dec,134.315
04-Dec,134.4865
05-Dec,136.6635
06-Dec,136.9175
07-Dec,136.3845
08-Dec,136.6175
09-Dec,136.565
10-Dec,136.58
11-Dec,136.7165
12-Dec,137.5065
13-Dec,135.5885
14-Dec,135.361
15-Dec,137.7525
16-Dec,136.705
17-Dec,136.715
18-Dec,136.5575
19-Dec,136.982
20-Dec,131.897
21-Dec,132.375
22-Dec,132.36
23-Dec,132.765
24-Dec,132.765
25-Dec,132.825
26-Dec,132.764
27-Dec,133.489
28-Dec,134.055
29-Dec,132.945
30-Dec,131.115